reach_node_index,distance_covered,flow_accumulation
3618861,899,1.05E+07
3618862,900,1.05E+07
3618863,901,1.05E+07
3618864,902,1.05E+07
3618865,903,1.05E+07
3618866,904,1.05E+07
3618867,905,1.05E+07
3618868,906,1.05E+07
3618869,907,1.05E+07
3618870,908,1.05E+07
3621571,909,1.05E+07
3621572,910,1.05E+07
3621573,911,1.05E+07
3624274,912,1.05E+07
3626975,913,1.05E+07
3626976,914,1.05E+07
3626977,915,1.05E+07
3626978,916,1.05E+07
3626979,917,1.05E+07
3626980,918,1.05E+07
3626981,919,1.05E+07
3624282,920,1.05E+07
3624283,921,1.05E+07
3624284,922,1.05E+07
3624285,923,1.05E+07
3624286,924,1.05E+07
3624287,925,1.05E+07
3624288,926,1.05E+07
3624289,927,1.05E+07
3624290,928,1.05E+07
3624291,929,1.05E+07
3624292,930,1.05E+07
3624293,931,1.05E+07
3624294,932,1.05E+07
3624295,933,1.05E+07
3626996,934,1.05E+07
3626997,935,1.05E+07
3626998,936,1.05E+07
3626999,937,1.05E+07
3627000,938,1.05E+07
3627001,939,1.05E+07
3627002,940,1.05E+07
3627003,941,1.05E+07
3629704,942,1.05E+07
3629705,943,1.05E+07
3632406,944,1.05E+07
3632407,945,1.05E+07
3632408,946,1.05E+07
3632409,947,1.05E+07
3635110,948,1.05E+07
3637811,949,1.05E+07
3637812,950,1.05E+07
3637813,951,1.05E+07
3637814,952,1.05E+07
3640515,953,1.05E+07
3643216,954,1.05E+07
3645917,955,1.05E+07
3648618,956,1.05E+07
3651319,957,1.05E+07
3651320,958,1.05E+07
3651321,959,1.05E+07
3651322,960,1.05E+07
3654023,961,1.05E+07
3656724,962,1.05E+07
3656725,963,1.05E+07
3656726,964,1.05E+07
3656727,965,1.05E+07
3656728,966,1.05E+07
3656729,967,1.05E+07
3659430,968,1.05E+07
3662131,969,1.05E+07
3662132,970,1.05E+07
3664833,971,1.05E+07
3667534,972,1.05E+07
3670235,973,1.05E+07
3670236,974,1.05E+07
3672937,975,1.05E+07
3672938,976,1.05E+07
3672939,977,1.05E+07
3672940,978,1.05E+07
3672941,979,1.05E+07
3675642,980,1.05E+07
3672943,981,1.05E+07
3675644,982,1.05E+07
3672945,983,1.05E+07
3672946,984,1.05E+07
3672947,985,1.05E+07
3675648,986,1.05E+07
3678349,987,1.05E+07
3678350,988,1.05E+07
3681051,989,1.05E+07
3683752,990,1.05E+07
3686453,991,1.05E+07
3683754,992,1.05E+07
3681055,993,1.05E+07
3681056,994,1.05E+07
3681057,995,1.05E+07
3678358,996,1.05E+07
3675659,997,1.05E+07
3675660,998,1.05E+07
3675661,999,1.05E+07
3672962,1000,1.05E+07
3672963,1001,1.05E+07
3672964,1002,1.05E+07
3670265,1003,1.05E+07
3667566,1004,1.05E+07
3667567,1005,1.05E+07
3664868,1006,1.05E+07
3664869,1007,1.05E+07
3662170,1008,1.05E+07
3662171,1009,1.05E+07
3659472,1010,1.05E+07
3656773,1011,1.05E+07
3656774,1012,1.05E+07
3654075,1013,1.05E+07
3654076,1014,1.05E+07
3654077,1015,1.05E+07
3654078,1016,1.05E+07
3654079,1017,1.05E+07
3654080,1018,1.05E+07
3656781,1019,1.06E+07
3659482,1020,1.06E+07
3662183,1021,1.06E+07
3664884,1022,1.06E+07
3667585,1023,1.06E+07
3664886,1024,1.06E+07
3662187,1025,1.06E+07
3659488,1026,1.06E+07
3659489,1027,1.06E+07
3659490,1028,1.06E+07
3662191,1029,1.07E+07
3662192,1030,1.07E+07
3662193,1031,1.07E+07
3662194,1032,1.07E+07
3662195,1033,1.07E+07
3664896,1034,1.07E+07
3664897,1035,1.07E+07
3664898,1036,1.07E+07
3667599,1037,1.07E+07
3667600,1038,1.07E+07
3667601,1039,1.07E+07
3667602,1040,1.07E+07
3667603,1041,1.07E+07
3667604,1042,1.07E+07
3667605,1043,1.07E+07
3667606,1044,1.07E+07
3667607,1045,1.07E+07
3670308,1046,1.07E+07
3670309,1047,1.07E+07
3673010,1048,1.07E+07
3675711,1049,1.07E+07
3678412,1050,1.07E+07
3678413,1051,1.07E+07
3678414,1052,1.07E+07
3678415,1053,1.07E+07
3678416,1054,1.07E+07
3678417,1055,1.07E+07
3678418,1056,1.07E+07
3678419,1057,1.07E+07
3678420,1058,1.07E+07
3678421,1059,1.07E+07
3675722,1060,1.07E+07
3675723,1061,1.07E+07
